Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,47.23302459716797,3,anomaly type 3,4.3123225928467996e-20,2.7079490857789476e-14,2.7659526145168423e-12,1.0
2,44.59022521972656,3,anomaly type 3,4.397394499932699e-19,3.06664334768017e-13,1.3632893425263859e-11,1.0
3,42.268104553222656,3,anomaly type 3,2.960313355819316e-18,2.407987654759469e-12,4.808747150475412e-11,1.0
4,40.361236572265625,3,anomaly type 3,1.5781180028135727e-17,1.4367683258409425e-11,1.504067703717027e-10,1.0
5,38.687713623046875,3,anomaly type 3,6.931974703519345e-17,6.604836816359594e-11,4.231066330628863e-10,1.0
6,37.207801818847656,3,anomaly type 3,2.6438698786488573e-16,2.636586227122706e-10,1.0969130048721354e-9,1.0
7,35.869117736816406,3,anomaly type 3,9.123913858929814e-16,9.556521129994167e-10,2.7294653204279484e-9,1.0
8,34.630462646484375,3,anomaly type 3,2.8856263166850355e-15,2.986870084598081e-9,5.800240732156681e-9,1.0
9,33.479034423828125,3,anomaly type 3,9.290996825248119e-15,9.619104623936892e-9,1.2219929068635338e-8,1.0
10,32.309730529785156,3,anomaly type 3,2.8753153422664615e-14,2.989288105936794e-8,2.4915106422440658e-8,1.0
11,31.180028915405273,3,anomaly type 3,7.455681579927875e-14,6.361518245512343e-8,4.720918767020521e-8,0.9999998807907104
12,30.227214813232422,3,anomaly type 3,1.7293004322353062e-13,1.2812401450901234e-7,7.874852059330806e-8,0.9999997615814209
13,29.385889053344727,3,anomaly type 3,3.908665925644872e-13,2.531024279051053e-7,1.2949800520800636e-7,0.9999996423721313
14,28.570409774780273,3,anomaly type 3,8.698255874253769e-13,4.986141561857949e-7,2.1426747309760685e-7,0.9999992847442627
15,27.770483016967773,3,anomaly type 3,1.8694013351194805e-12,9.252929658032372e-7,3.49994905946005e-7,0.9999986886978149
16,27.005403518676758,3,anomaly type 3,3.9362211406990255e-12,1.861216674114985e-6,5.822545858791273e-7,0.999997615814209
17,26.260799407958984,3,anomaly type 3,8.403206082363557e-12,3.5559539810492424e-6,9.758834949025186e-7,0.9999954700469971
18,25.50240707397461,3,anomaly type 3,1.8390587663841274e-11,6.948513600946171e-6,1.7041143109963741e-6,0.9999912977218628
19,24.71918296813965,3,anomaly type 3,3.897965630828004e-11,1.4199365068634506e-5,2.796159378704033e-6,0.9999829530715942
20,23.967981338500977,3,anomaly type 3,8.353026603735714e-11,2.7232759748585522e-5,4.851707217312651e-6,0.9999679327011108
21,23.205812454223633,3,anomaly type 3,1.7861975787347717e-10,5.578255149885081e-5,8.228727892856114e-6,0.9999359846115112
22,22.445762634277344,3,anomaly type 3,3.6852587648184e-10,0.00010651144839357585,1.3866688277630601e-5,0.9998795986175537
23,21.72150993347168,3,anomaly type 3,7.563044635006122e-10,0.00020206520275678486,2.317697726539336e-5,0.9997747540473938
24,21.00257682800293,3,anomaly type 3,1.3584419145118432e-9,0.0003215297474525869,3.6989305954193696e-5,0.9996414184570312
25,20.416927337646484,3,anomaly type 3,2.48525799939614e-9,0.0005415159976109862,5.9261808928567916e-5,0.9993991851806641
26,19.812889099121094,3,anomaly type 3,4.603875058961648e-9,0.0009554994176141918,9.902512101689354e-5,0.9989455342292786
27,19.196367263793945,3,anomaly type 3,8.509172921833397e-9,0.0017316915327683091,0.00016832025721669197,0.9980999827384949
28,18.582120895385742,3,anomaly type 3,1.5358828875378094e-8,0.003065851517021656,0.0002874030324164778,0.9966467022895813
29,17.991575241088867,3,anomaly type 3,2.644263119577772e-8,0.0048726629465818405,0.00048060575500130653,0.9946467280387878
30,17.448287963867188,3,anomaly type 3,4.4742471061454125e-8,0.007354309316724539,0.0007667616591788828,0.991878867149353
31,16.92234230041504,3,anomaly type 3,7.368627308323994e-8,0.010642535984516144,0.0012102022301405668,0.9881471991539001
32,16.42344856262207,3,anomaly type 3,1.2093465784346336e-7,0.014662886038422585,0.001880074618384242,0.9834569096565247
33,15.92801570892334,3,anomaly type 3,1.9494659397878422e-7,0.02071722410619259,0.002845888491719961,0.9764367341995239
34,15.450540542602539,3,anomaly type 3,3.130338654955267e-7,0.028780817985534668,0.004298307467252016,0.9669205546379089
35,14.976954460144043,3,anomaly type 3,5.081154199615412e-7,0.039966482669115067,0.006586539093405008,0.9534464478492737
36,14.492557525634766,3,anomaly type 3,8.137718623402179e-7,0.05376601591706276,0.009823957458138466,0.9364091753959656
