x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006789797,0.006789797,0.006789797,0.006789797,0.006365435,0.00551671,0.0046679857,0.0038192607,0.0029705365,0.0021218115,0.001273087,0.0004243623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012660478,0.0037981432,0.0063302396,0.008862334,0.011394431,0.013926526,0.016458621,0.018990718,0.018990718,0.016458621,0.013926526,0.011394431,0.008862334,0.0063302396,0.0037981432,0.0012660478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001497841,0.00044935232,0.0007489205,0.0010484887,0.001348057,0.0016476251,0.0019471933,0.0022467615,0.006203877,0.01381854,0.021433203,0.029047864,0.036662526,0.044277187,0.051891852,0.059506513,0.0598575,0.0529448,0.046032105,0.039119408,0.03220671,0.025294015,0.018381318,0.011468621,0.007536519,0.0065850117,0.005633503,0.0046819956,0.0037304873,0.0027789795,0.0018274714,0.0008759635,0.00037519643,0.00032517023,0.00027514403,0.00022511785,0.00017509167,0.00012506548,7.503929e-5,2.5013094e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020369392,0.020369392,0.020369392,0.020369392,0.019096306,0.016550131,0.014003957,0.011457783,0.008911609,0.006365435,0.0038192607,0.001273087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037981432,0.011394431,0.018990718,0.026587004,0.034183294,0.04177958,0.049375866,0.056972153,0.056972153,0.049375866,0.04177958,0.034183294,0.026587004,0.018990718,0.011394431,0.0037981432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044935232,0.001348057,0.0022467615,0.003145466,0.0040441705,0.0049428754,0.0058415798,0.006740284,0.01861163,0.04145562,0.064299606,0.08714359,0.10998757,0.13283156,0.15567555,0.17851953,0.1795725,0.1588344,0.13809632,0.11735823,0.096620135,0.07588204,0.055143952,0.034405865,0.022609558,0.019755034,0.01690051,0.014045986,0.011191462,0.008336938,0.0054824147,0.0026278906,0.0011255892,0.0009755107,0.00082543213,0.00067535357,0.000525275,0.00037519643,0.00022511785,7.503929e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033948984,0.033948984,0.033948984,0.033948984,0.031827174,0.02758355,0.023339929,0.019096306,0.01485268,0.010609059,0.006365435,0.0021218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063302396,0.018990718,0.031651195,0.044311672,0.056972153,0.06963263,0.08229311,0.09495359,0.09495359,0.08229311,0.06963263,0.056972153,0.044311672,0.031651195,0.018990718,0.0063302396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007489205,0.0022467615,0.0037446024,0.0052424436,0.006740284,0.008238126,0.009735966,0.011233808,0.031019384,0.0690927,0.107166015,0.14523932,0.18331264,0.22138596,0.25945926,0.2975326,0.29928747,0.26472402,0.23016052,0.19559704,0.16103356,0.12647007,0.09190659,0.057343103,0.037682597,0.032925054,0.028167516,0.023409978,0.018652437,0.013894897,0.009137358,0.0043798178,0.001875982,0.0016258511,0.0013757203,0.0011255892,0.0008754583,0.00062532735,0.00037519643,0.00012506548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047528584,0.047528584,0.047528584,0.047528584,0.044558045,0.03861697,0.0326759,0.026734827,0.020793755,0.01485268,0.008911609,0.0029705365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008862334,0.026587004,0.044311672,0.062036343,0.07976101,0.097485684,0.11521035,0.13293502,0.13293502,0.11521035,0.097485684,0.07976101,0.062036343,0.044311672,0.026587004,0.008862334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010484887,0.003145466,0.0052424436,0.0073394207,0.009436399,0.011533375,0.013630354,0.01572733,0.04342714,0.09672978,0.1500324,0.20333505,0.2566377,0.3099403,0.36324295,0.4165456,0.41900247,0.3706136,0.32222474,0.27383584,0.22544698,0.1770581,0.12866923,0.08028035,0.05275563,0.04609508,0.039434522,0.032773968,0.026113411,0.019452855,0.0127923,0.0061317445,0.002626375,0.0022761915,0.0019260084,0.0015758249,0.0012256417,0.0008754583,0.000525275,0.00017509167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061108172,0.061108172,0.061108172,0.061108172,0.05728891,0.049650393,0.04201187,0.03437335,0.026734827,0.019096306,0.011457783,0.0038192607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011394431,0.034183294,0.056972153,0.07976101,0.10254987,0.12533873,0.14812759,0.17091645,0.17091645,0.14812759,0.12533873,0.10254987,0.07976101,0.056972153,0.034183294,0.011394431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001348057,0.0040441705,0.006740284,0.009436399,0.0121325115,0.014828626,0.01752474,0.020220853,0.055834893,0.12436686,0.19289882,0.26143077,0.32996276,0.39849472,0.46702665,0.53555864,0.5387175,0.47650322,0.41428894,0.35207465,0.2898604,0.22764613,0.16543186,0.103217594,0.06782867,0.059265103,0.050701533,0.042137958,0.033574387,0.025010815,0.016447242,0.007883672,0.0033767677,0.0029265322,0.0024762964,0.0020260608,0.0015758249,0.0011255892,0.00067535357,0.00022511785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07468777,0.07468777,0.07468777,0.07468777,0.07001979,0.060683813,0.05134784,0.04201187,0.0326759,0.023339929,0.014003957,0.0046679857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013926526,0.04177958,0.06963263,0.097485684,0.12533873,0.15319179,0.18104483,0.2088979,0.2088979,0.18104483,0.15319179,0.12533873,0.097485684,0.06963263,0.04177958,0.013926526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016476251,0.0049428754,0.008238126,0.011533375,0.014828626,0.018123876,0.021419127,0.024714377,0.06824265,0.15200393,0.23576522,0.3195265,0.4032878,0.4870491,0.5708104,0.65457165,0.6584325,0.5823928,0.50635314,0.43031347,0.35427383,0.27823418,0.2021945,0.12615484,0.08290171,0.07243512,0.06196854,0.051501952,0.04103536,0.030568773,0.020102186,0.009635598,0.0041271606,0.0035768724,0.0030265846,0.0024762964,0.0019260084,0.0013757203,0.00082543213,0.00027514403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
