Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,88.5159912109375,3,anomaly type 3,1.7964890138576947e-38,2.2473887358922717e-22,3.629651099208928e-27,1.0
2,86.91239929199219,3,anomaly type 3,9.111498772399239e-38,7.43463563090902e-22,1.5766124747940566e-26,1.0
3,85.2886962890625,3,anomaly type 3,4.294768589451021e-37,2.3511239701723838e-21,6.445550728669979e-26,1.0
4,83.73825073242188,3,anomaly type 3,1.8250182959214134e-36,7.041687580468056e-21,2.4264274295663315e-25,1.0
5,82.29147338867188,3,anomaly type 3,7.348892359471391e-36,2.025119569964948e-20,8.562489536190641e-25,1.0
6,80.89851379394531,3,anomaly type 3,2.88700637699955e-35,5.776427753421684e-20,2.9598074968958204e-24,1.0
7,79.53025817871094,3,anomaly type 3,1.0577646885788487e-34,1.565739808463509e-19,9.634785798074847e-24,1.0
8,78.23173522949219,3,anomaly type 3,3.831892785611061e-34,4.2875400032007694e-19,3.160969118208577e-23,1.0
9,76.94453430175781,3,anomaly type 3,1.3544359987571257e-33,1.1394796542927028e-18,1.0160075968631397e-22,1.0
10,75.68192291259766,3,anomaly type 3,4.648015233088699e-33,2.87835485316149e-18,3.182531463538654e-22,1.0
11,74.44886779785156,3,anomaly type 3,1.558370346363575e-32,6.908292357145829e-18,9.754505159208488e-22,1.0
12,73.23908233642578,3,anomaly type 3,5.01278104838244e-32,1.591095970316162e-17,2.8842968049253625e-21,1.0
13,72.07073211669922,3,anomaly type 3,1.4763539014547962e-31,3.5825139390112425e-17,7.965956094038795e-21,1.0
14,70.99056243896484,3,anomaly type 3,4.14594224427675e-31,7.896928533665735e-17,2.118238619629538e-20,1.0
15,69.9580078125,3,anomaly type 3,1.1018100390935355e-30,1.6302583731963422e-16,5.2790553602034854e-20,1.0
16,68.98059844970703,3,anomaly type 3,2.8658473279826994e-30,3.2065602182569934e-16,1.2787095576242861e-19,1.0
17,68.02468872070312,3,anomaly type 3,7.22174452422027e-30,5.91452931518932e-16,2.995858444114062e-19,1.0
18,67.10045623779297,3,anomaly type 3,1.8203175133782853e-29,1.098779609507751e-15,7.063189785062203e-19,1.0
19,66.17595672607422,3,anomaly type 3,4.580993794374836e-29,2.0498169794983282e-15,1.6525597291294914e-18,1.0
20,65.2530517578125,3,anomaly type 3,1.1548556040557478e-28,3.803066971855718e-15,3.831631705472714e-18,1.0
21,64.32840728759766,3,anomaly type 3,2.785306367109556e-28,6.997339177267775e-15,8.5116190199992e-18,1.0
