Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,44.10969543457031,3,anomaly type 3,1.00220143191765e-19,6.78204492565726e-10,3.9790101769021646e-11,1.0
2,43.746917724609375,3,anomaly type 3,1.4245676075054686e-19,7.803153123653317e-10,4.853530077841839e-11,1.0
3,43.39524841308594,3,anomaly type 3,2.0038038041260526e-19,8.945489349265756e-10,5.901416161302464e-11,1.0
4,43.05406951904297,3,anomaly type 3,2.761451485140902e-19,1.0168925701492526e-9,7.11233225092478e-11,1.0
5,42.733360290527344,3,anomaly type 3,3.7803358575440395e-19,1.1491100293525847e-9,8.552283881080314e-11,1.0
6,42.41930389404297,3,anomaly type 3,5.131826452327452e-19,1.29485311362032e-9,1.0275648387736425e-10,1.0
7,42.11365509033203,3,anomaly type 3,6.844729317335417e-19,1.4473122700309204e-9,1.2276053784621155e-10,1.0
8,41.82563781738281,3,anomaly type 3,9.16408275036393e-19,1.6160199844961198e-9,1.4675707871170118e-10,1.0
9,41.5338249206543,3,anomaly type 3,1.2220403444364673e-18,1.800254390005307e-9,1.752356454387538e-10,1.0
10,41.246009826660156,3,anomaly type 3,1.6029198967871482e-18,1.988872622149529e-9,2.0706607262166443e-10,1.0
11,40.97470474243164,3,anomaly type 3,2.080180569558553e-18,2.190264858370483e-9,2.436899848579088e-10,1.0
12,40.71407699584961,3,anomaly type 3,2.6932785677767317e-18,2.412740451873674e-9,2.8559235532021887e-10,1.0
13,40.455772399902344,3,anomaly type 3,3.4714156418114904e-18,2.6505140304777797e-9,3.3379832231617e-10,1.0
14,40.201969146728516,3,anomaly type 3,4.471402142542665e-18,2.9147424474018635e-9,3.890020250363335e-10,1.0
15,39.948829650878906,3,anomaly type 3,5.6985398841064136e-18,3.186761965423557e-9,4.5159032069364e-10,1.0
16,39.706321716308594,3,anomaly type 3,7.28042933420486e-18,3.4835565543289704e-9,5.246909018374879e-10,1.0
17,39.461341857910156,3,anomaly type 3,9.295342871891142e-18,3.811589266433657e-9,6.065024038548472e-10,1.0
18,39.217018127441406,3,anomaly type 3,1.1844246162733481e-17,4.173623224801304e-9,7.028013726539939e-10,1.0
19,38.97468948364258,3,anomaly type 3,1.498349998494879e-17,4.560778865680959e-9,8.110869753608085e-10,1.0
20,38.73958206176758,3,anomaly type 3,1.8970783507056526e-17,4.995678093422384e-9,9.348686269561313e-10,1.0
21,38.503631591796875,3,anomaly type 3,2.4021970189417715e-17,5.466685326638299e-9,1.0731597832602802e-9,1.0
22,38.26756286621094,3,anomaly type 3,3.024061146419542e-17,5.969187366616779e-9,1.2336595078821233e-9,1.0
23,38.03734588623047,3,anomaly type 3,3.8065025374897817e-17,6.522431039712728e-9,1.415037087504345e-9,1.0
24,37.80723571777344,3,anomaly type 3,4.7783960821032464e-17,7.128310830495366e-9,1.6271358704855743e-9,1.0
25,37.57984161376953,3,anomaly type 3,6.021776921201515e-17,7.785272870819426e-9,1.8722541295090878e-9,1.0
26,37.34856414794922,3,anomaly type 3,7.528262737329221e-17,8.504598802971941e-9,2.1500532465523747e-9,1.0
27,37.125282287597656,3,anomaly type 3,9.46690211616811e-17,9.296307723616337e-9,2.476499894044082e-9,1.0
28,36.89614486694336,3,anomaly type 3,1.1851347508292249e-16,1.019281548053641e-8,2.864375181488299e-9,1.0
29,36.671504974365234,3,anomaly type 3,1.4916326963509074e-16,1.120241410745848e-8,3.30441118912006e-9,1.0
30,36.441490173339844,3,anomaly type 3,1.8595988964125484e-16,1.2265557458590592e-8,3.818662275278939e-9,1.0
31,36.22100067138672,3,anomaly type 3,2.34587998203565e-16,1.3479329652454908e-8,4.40231762155463e-9,1.0
32,35.98870086669922,3,anomaly type 3,2.9331583646135986e-16,1.475217015212138e-8,5.067374964085047e-9,1.0
33,35.765281677246094,3,anomaly type 3,3.725582303665026e-16,1.6283538073480486e-8,5.858558083104981e-9,1.0
34,35.52613830566406,3,anomaly type 3,4.690268127292949e-16,1.7900314119856375e-8,6.771255556259348e-9,1.0
35,35.29587173461914,3,anomaly type 3,5.871233755486008e-16,1.9597688805106372e-8,7.812852587107955e-9,1.0
36,35.07129669189453,3,anomaly type 3,7.358672844654619e-16,2.156453149382287e-8,9.022965485883105e-9,1.0
37,34.845481872558594,3,anomaly type 3,9.260455570027208e-16,2.376949126414729e-8,1.0445184273066843e-8,1.0
