Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,81.67164611816406,3,anomaly type 3,5.434710585724536e-36,7.499589287363051e-7,1.3238411018454133e-12,0.9999992847442627
2,81.20025634765625,3,anomaly type 3,8.643659495858497e-36,7.43362363664346e-7,1.3609468369965572e-12,0.9999992847442627
3,80.73623657226562,3,anomaly type 3,1.3702424258904766e-35,7.375563768619031e-7,1.3984576300793417e-12,0.9999992847442627
4,80.2754898071289,3,anomaly type 3,2.1611117821827536e-35,7.325805881919223e-7,1.4415537990739025e-12,0.9999992847442627
5,79.81985473632812,3,anomaly type 3,3.380378230812083e-35,7.2786184546203e-7,1.4877846133895534e-12,0.9999992847442627
6,79.37248992919922,3,anomaly type 3,5.26619862047202e-35,7.230231631183415e-7,1.5352374319738127e-12,0.9999992847442627
7,78.92916870117188,3,anomaly type 3,8.178881915211419e-35,7.180727834565914e-7,1.5820326819404595e-12,0.9999992847442627
8,78.48892211914062,3,anomaly type 3,1.2654272450886255e-34,7.130162202884094e-7,1.632058745960896e-12,0.9999992847442627
9,78.05248260498047,3,anomaly type 3,1.954899451650274e-34,7.086370601427916e-7,1.683984765868396e-12,0.9999992847442627
10,77.6175537109375,3,anomaly type 3,3.007501378223861e-34,7.052647106320364e-7,1.7350326904364e-12,0.9999992847442627
11,77.18678283691406,3,anomaly type 3,4.601312383353049e-34,7.015470373517019e-7,1.793166851983552e-12,0.9999992847442627
12,76.76155090332031,3,anomaly type 3,7.048247137963647e-34,6.989639018684102e-7,1.8539490689167826e-12,0.9999992847442627
13,76.33511352539062,3,anomaly type 3,1.077940166483042e-33,6.962202974136744e-7,1.9192720329685997e-12,0.9999992847442627
14,75.9102554321289,3,anomaly type 3,1.638566575004304e-33,6.947345809749095e-7,1.9968044145252106e-12,0.9999992847442627
15,75.49148559570312,3,anomaly type 3,2.4830848793182296e-33,6.941280048522458e-7,2.0824878280145676e-12,0.9999992847442627
16,75.0758056640625,3,anomaly type 3,3.753349788755718e-33,6.935853775758005e-7,2.1704068663835896e-12,0.9999992847442627
17,74.66265869140625,3,anomaly type 3,5.650976400569045e-33,6.924565241206437e-7,2.261813132620194e-12,0.9999992847442627
18,74.25347900390625,3,anomaly type 3,8.489724360801836e-33,6.906705039000371e-7,2.3639484467152805e-12,0.9999992847442627
19,73.84645080566406,3,anomaly type 3,1.2740113568703526e-32,6.886185133225808e-7,2.4693203211356707e-12,0.9999992847442627
20,73.4405517578125,3,anomaly type 3,1.9112048205280728e-32,6.869196909065067e-7,2.5836923746302976e-12,0.9999992847442627
21,73.03498840332031,3,anomaly type 3,2.86295763372996e-32,6.847717486380134e-7,2.7039551153684727e-12,0.9999992847442627
22,72.63086700439453,3,anomaly type 3,4.283568711448e-32,6.827554557276017e-7,2.8295241583792263e-12,0.9999992847442627
23,72.22793579101562,3,anomaly type 3,6.38074555448379e-32,6.805647103647061e-7,2.9622066518436574e-12,0.9999992847442627
24,71.82943725585938,3,anomaly type 3,9.490253136596743e-32,6.78029095979582e-7,3.1007798325516367e-12,0.9999992847442627
25,71.43245697021484,3,anomaly type 3,1.409315341077966e-31,6.756125117135525e-7,3.2438177578059113e-12,0.9999992847442627
26,71.03703308105469,3,anomaly type 3,2.0833577902222405e-31,6.742775440216064e-7,3.387291532333525e-12,0.9999992847442627
27,70.64615631103516,3,anomaly type 3,3.077852342091354e-31,6.730709856128669e-7,3.533105665670666e-12,0.9999992847442627
28,70.25590515136719,3,anomaly type 3,4.543810406606348e-31,6.722639795953e-7,3.703595589932274e-12,0.9999992847442627
29,69.86637115478516,3,anomaly type 3,6.699401854488878e-31,6.719550356137916e-7,3.883378861535558e-12,0.9999992847442627
30,69.47811889648438,3,anomaly type 3,9.817355481061924e-31,6.719403131683066e-7,4.0679295869316956e-12,0.9999992847442627
31,69.09598541259766,3,anomaly type 3,1.4353318287382183e-30,6.717589826621406e-7,4.258204466117688e-12,0.9999992847442627
32,68.71615600585938,3,anomaly type 3,2.091935701638609e-30,6.720825922457152e-7,4.4506598927129826e-12,0.9999992847442627
33,68.33946228027344,3,anomaly type 3,3.0305404812221704e-30,6.721832050970988e-7,4.6515642899980225e-12,0.9999992847442627
34,67.96881103515625,3,anomaly type 3,4.375563875003664e-30,6.724973786731425e-7,4.864460396991621e-12,0.9999992847442627
35,67.60151672363281,3,anomaly type 3,6.313972491261037e-30,6.727135541950702e-7,5.0893421421616125e-12,0.9999992847442627
36,67.23478698730469,3,anomaly type 3,9.069223668345491e-30,6.72447356464545e-7,5.335324196331648e-12,0.9999992847442627
37,66.87266540527344,3,anomaly type 3,1.301348305546748e-29,6.712991762469755e-7,5.589687133294996e-12,0.9999992847442627
38,66.51156616210938,3,anomaly type 3,1.8610542418941673e-29,6.701880579385033e-7,5.865376326991134e-12,0.9999992847442627
39,66.15382385253906,3,anomaly type 3,2.645454663271323e-29,6.701324650748575e-7,6.174499279920642e-12,0.9999992847442627
40,65.8021240234375,3,anomaly type 3,3.7579416141098743e-29,6.702219366161444e-7,6.503385503731085e-12,0.9999992847442627
41,65.45109558105469,3,anomaly type 3,5.292193681074309e-29,6.713964921800653e-7,6.881769459843312e-12,0.9999992847442627
42,65.10873413085938,3,anomaly type 3,7.429160408383314e-29,6.726166930093314e-7,7.290200561282933e-12,0.9999992847442627
43,64.7695541381836,3,anomaly type 3,1.0387812507549874e-28,6.735538704560895e-7,7.733427613565436e-12,0.9999992847442627
44,64.43433380126953,3,anomaly type 3,1.4451676357190062e-28,6.750554462087166e-7,8.191310477134728e-12,0.9999992847442627
45,64.10415649414062,3,anomaly type 3,2.0035715230533983e-28,6.767422746634111e-7,8.670151402379034e-12,0.9999992847442627
46,63.77745056152344,3,anomaly type 3,2.7746254003792273e-28,6.780614398849139e-7,9.180711746381576e-12,0.9999992847442627
47,63.451866149902344,3,anomaly type 3,3.8319893473144994e-28,6.792627118556993e-7,9.720615805342003e-12,0.9999992847442627
48,63.128997802734375,3,anomaly type 3,5.279875794261873e-28,6.810055310779717e-7,1.0296256035269291e-11,0.9999992847442627
49,62.80847930908203,3,anomaly type 3,7.252335243140532e-28,6.829208700764866e-7,1.0909499865985328e-11,0.9999992847442627
50,62.491058349609375,3,anomaly type 3,9.940410074042726e-28,6.848533757874975e-7,1.1559996883347967e-11,0.9999992847442627
51,62.17577362060547,3,anomaly type 3,1.3591491766114828e-27,6.867500701446261e-7,1.2245310668235199e-11,0.9999992847442627
52,61.862937927246094,3,anomaly type 3,1.858487922187678e-27,6.890100507916941e-7,1.298288386519797e-11,0.9999992847442627
53,61.55003356933594,3,anomaly type 3,2.5407946347125272e-27,6.910381671332289e-7,1.3766092432643262e-11,0.9999992847442627
54,61.23731994628906,3,anomaly type 3,3.473066446568435e-27,6.931350640115852e-7,1.4593234606841143e-11,0.9999992847442627
55,60.92475891113281,3,anomaly type 3,4.742195731649314e-27,6.950527335902734e-7,1.546529918017292e-11,0.9999992847442627
56,60.61329650878906,3,anomaly type 3,6.474548146210255e-27,6.984501510487462e-7,1.6373319366991268e-11,0.9999992847442627
57,60.301918029785156,3,anomaly type 3,8.840614712648195e-27,7.016400331849582e-7,1.7315985451071825e-11,0.9999992847442627
58,59.990440368652344,3,anomaly type 3,1.1988279887672851e-26,7.046340897431946e-7,1.8263319676026235e-11,0.9999992847442627
59,59.68586730957031,3,anomaly type 3,1.6124611184812984e-26,7.098321930243401e-7,1.9203824294655725e-11,0.9999992847442627
60,59.38945007324219,3,anomaly type 3,2.1689924722790114e-26,7.158110406635387e-7,2.0190875013592624e-11,0.9999992847442627
61,59.09294891357422,3,anomaly type 3,2.905711828706452e-26,7.282034175659646e-7,2.1326301835600248e-11,0.9999992847442627
62,58.800533294677734,3,anomaly type 3,3.888865477097906e-26,7.408110604956164e-7,2.251896412397425e-11,0.9999992847442627
63,58.50909423828125,3,anomaly type 3,5.181947784008722e-26,7.53782217088883e-7,2.375543164956362e-11,0.9999992847442627
64,58.22203063964844,3,anomaly type 3,6.888575629339681e-26,7.667156296520261e-7,2.5065768904930508e-11,0.9999992847442627
65,57.937347412109375,3,anomaly type 3,9.119614785153445e-26,7.792747283019708e-7,2.6412736581216123e-11,0.9999991655349731
66,57.65678405761719,3,anomaly type 3,1.2054548980017678e-25,7.92678122252255e-7,2.784446458126144e-11,0.9999991655349731
67,57.377769470214844,3,anomaly type 3,1.5854112321156654e-25,8.061544463089376e-7,2.9316087751807274e-11,0.9999991655349731
68,57.103782653808594,3,anomaly type 3,2.0772531875312564e-25,8.201359378290363e-7,3.0934796391157704e-11,0.9999991655349731
69,56.833580017089844,3,anomaly type 3,2.7093731008226095e-25,8.364185646314581e-7,3.2763895763121553e-11,0.9999991655349731
70,56.567909240722656,3,anomaly type 3,3.527251021847012e-25,8.528161856702354e-7,3.466912520955212e-11,0.9999991655349731
71,56.304107666015625,3,anomaly type 3,4.587924305761304e-25,8.697832640791603e-7,3.668857231908795e-11,0.9999991655349731
72,56.04119873046875,3,anomaly type 3,5.960680824542344e-25,8.870422902873543e-7,3.8833432997043005e-11,0.9999991655349731
73,55.779441833496094,3,anomaly type 3,7.709515440011989e-25,9.047350886248751e-7,4.1172877607298375e-11,0.9999990463256836
74,55.52217102050781,3,anomaly type 3,9.962478026457976e-25,9.229974011759623e-7,4.3660592502492435e-11,0.9999990463256836
75,55.26580047607422,3,anomaly type 3,1.2837538787951582e-24,9.411857035956928e-7,4.623375987611311e-11,0.9999990463256836
76,55.01225280761719,3,anomaly type 3,1.651242364909651e-24,9.620995342629612e-7,4.8799159158008365e-11,0.9999990463256836
77,54.76051330566406,3,anomaly type 3,2.1225517500765363e-24,9.8179134511156e-7,5.129768138045776e-11,0.9999990463256836
78,54.509422302246094,3,anomaly type 3,2.7257222923871215e-24,9.991953220378491e-7,5.3685011297543994e-11,0.9999990463256836
