iteration,chain,true_state_scenario,cost_model,cost_hybrid,cost_manual
5001,1,no_anomaly,49.87349299169665,16.652093402992808,100
5001,1,lack_of_penetration,831.0819726785946,875.2056817358941,600
5001,1,cracking,822.364208483211,907.112426591276,800
5001,1,porosity,361.13803303177156,305.08053747084,300
5002,1,no_anomaly,62.64353437282791,25.011436696284306,100
5002,1,lack_of_penetration,688.0302003556103,780.570191950132,600
5002,1,cracking,1269.798155943232,1353.9197179653847,800
5002,1,porosity,296.2469635723645,256.15325040439535,300
5003,1,no_anomaly,41.843286377569434,20.217673533771034,100
5003,1,lack_of_penetration,612.1509559780104,708.462768577175,600
5003,1,cracking,971.1136850309823,1057.9804511785653,800
5003,1,porosity,307.38735501916597,262.2723916953258,300
5004,1,no_anomaly,28.30246467297659,11.813571482251609,100
5004,1,lack_of_penetration,587.4130744775274,681.9196687552866,600
5004,1,cracking,850.7645803155052,934.3447750268116,800
5004,1,porosity,471.624653773254,438.9195876196031,300
5005,1,no_anomaly,23.003812444818138,11.726417265118164,100
5005,1,lack_of_penetration,821.7774161258643,914.3192132492843,600
5005,1,cracking,998.5706837222756,1083.3927844693999,800
5005,1,porosity,359.1969529054523,330.1143841782464,300
5006,1,no_anomaly,31.94949339281382,12.511021964923966,100
5006,1,lack_of_penetration,1296.1335599963352,1384.5718357665492,600
5006,1,cracking,931.9250102592008,1018.619126282624,800
5006,1,porosity,357.1549766624637,338.7775050263715,300
5007,1,no_anomaly,28.597735303720267,25.5465039308418,100
5007,1,lack_of_penetration,521.3850433180984,606.2732696567883,600
5007,1,cracking,865.5247916500304,955.6901178611931,800
5007,1,porosity,375.39624550363243,335.10379129893505,300
5008,1,no_anomaly,17.86160926506613,15.145700006076849,100
5008,1,lack_of_penetration,524.469557738852,608.0345892185956,600
5008,1,cracking,760.7930012887316,858.1681138903162,800
5008,1,porosity,380.212185869715,349.2365123195164,300
5009,1,no_anomaly,67.84398506003961,20.469101715791517,100
5009,1,lack_of_penetration,513.8130282216164,603.6598616251702,600
5009,1,cracking,762.265849119505,854.354389426489,800
5009,1,porosity,459.2846021411907,434.0908821993065,300
5010,1,no_anomaly,16.82859001355591,13.292706465050864,100
5010,1,lack_of_penetration,572.1768590940279,654.1789802168606,600
5010,1,cracking,820.6280542090235,908.9999682591191,800
5010,1,porosity,343.22718612302936,315.62419318794207,300
5011,1,no_anomaly,66.06408180668556,16.808403495299146,100
5011,1,lack_of_penetration,707.9688027760941,798.4879663140058,600
5011,1,cracking,955.9364508793656,1047.8471569524645,800
5011,1,porosity,345.9668649666587,330.61260027153753,300
5012,1,no_anomaly,20.405171567695128,14.11821292991777,100
5012,1,lack_of_penetration,550.1511699154478,644.7934407881039,600
5012,1,cracking,852.1114484461523,930.5388957715019,800
5012,1,porosity,335.2571740268569,325.442441164092,300
5013,1,no_anomaly,61.73677049034148,20.75909803051974,100
5013,1,lack_of_penetration,723.2183958197339,800.2797139672693,600
5013,1,cracking,941.5724750070732,1032.1013075931883,800
5013,1,porosity,406.7228487816109,350.19383108834506,300
