Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,60.94670867919922,3,anomaly type 3,7.481445121179302e-27,5.132197955504125e-8,2.797033438195484e-10,1.0
2,60.157371520996094,3,anomaly type 3,1.6245014161960252e-26,6.159412180295476e-8,3.186535202370777e-10,0.9999998807907104
3,59.38201141357422,3,anomaly type 3,3.475694647607743e-26,7.353089870321128e-8,3.620237165602447e-10,0.9999998807907104
4,58.62141799926758,3,anomaly type 3,7.363464963902073e-26,8.74943282269669e-8,4.0748632246234706e-10,0.9999998807907104
5,57.87068176269531,3,anomaly type 3,1.5496201198077224e-25,1.0368094649493287e-7,4.5369252799076776e-10,0.9999998807907104
6,57.126617431640625,3,anomaly type 3,3.2326684196435595e-25,1.222954040258628e-7,5.030834637764769e-10,0.9999998807907104
7,56.391319274902344,3,anomaly type 3,6.607094650917269e-25,1.4367012113325472e-7,5.555058080197739e-10,0.9999998807907104
8,55.676483154296875,3,anomaly type 3,1.3285235101034874e-24,1.6802651714442618e-7,6.109048822366958e-10,0.9999998807907104
9,54.97797393798828,3,anomaly type 3,2.6883632204224385e-24,1.9947285068155907e-7,6.714981903854778e-10,0.9999997615814209
10,54.273109436035156,3,anomaly type 3,5.3909105543512035e-24,2.3964173578860937e-7,7.302946025689039e-10,0.9999997615814209
11,53.577327728271484,3,anomaly type 3,1.0424005635007734e-23,2.878850864362903e-7,7.909285448803871e-10,0.9999997615814209
12,52.917930603027344,3,anomaly type 3,1.9930575503574295e-23,3.440949001287663e-7,8.529235095977583e-10,0.9999996423721313
13,52.2697868347168,3,anomaly type 3,3.7633341546488413e-23,4.1034729747480014e-7,9.21989207203211e-10,0.9999996423721313
14,51.634151458740234,3,anomaly type 3,7.048852734650419e-23,4.887855311608291e-7,9.928320388041811e-10,0.9999995231628418
15,51.006591796875,3,anomaly type 3,1.3174566554059278e-22,5.834184548803023e-7,1.0711876941016385e-9,0.9999994039535522
16,50.381168365478516,3,anomaly type 3,2.43699479923238e-22,6.928958100616001e-7,1.1479481809573144e-9,0.9999992847442627
17,49.76610565185547,3,anomaly type 3,4.479584389403221e-22,8.204723371818545e-7,1.2278204009064098e-9,0.9999991655349731
18,49.15734100341797,3,anomaly type 3,8.219594388330702e-22,9.727083352117916e-7,1.3139039856113754e-9,0.9999990463256836
19,48.550350189208984,3,anomaly type 3,1.4885973403556613e-21,1.1472390042399638e-6,1.403870908411875e-9,0.9999988079071045
20,47.956451416015625,3,anomaly type 3,2.6729541779019812e-21,1.3493099686456844e-6,1.4955731097998637e-9,0.9999986886978149
21,47.37110137939453,3,anomaly type 3,4.754705246788694e-21,1.5848146404096042e-6,1.5914460860244617e-9,0.9999984502792358
22,46.79515075683594,3,anomaly type 3,8.443001008379643e-21,1.8646162516233744e-6,1.6878279884835479e-9,0.9999980926513672
23,46.220947265625,3,anomaly type 3,1.497418890393177e-20,2.1941375507594785e-6,1.7931601759002547e-9,0.9999978542327881
24,45.6479606628418,3,anomaly type 3,2.6152297342841377e-20,2.5788212951738387e-6,1.9178549859333316e-9,0.9999973773956299
25,45.09035110473633,3,anomaly type 3,4.5548458092162385e-20,3.0209616852516774e-6,2.0517416654541876e-9,0.9999970197677612
26,44.5355110168457,3,anomaly type 3,7.880397184367255e-20,3.5347443372302223e-6,2.189797676521721e-9,0.9999964237213135
27,43.98732376098633,3,anomaly type 3,1.3580719797790085e-19,4.129408353037434e-6,2.3361312884162544e-9,0.9999958276748657
28,43.443050384521484,3,anomaly type 3,2.301238436107544e-19,4.802036528417375e-6,2.5162931738265115e-9,0.999995231628418
29,42.91566848754883,3,anomaly type 3,3.8677926297335054e-19,5.586266070167767e-6,2.7296218618744206e-9,0.9999943971633911
30,42.39643096923828,3,anomaly type 3,6.408486669984138e-19,6.463931185862748e-6,2.9573448134811997e-9,0.9999935626983643
31,41.89149475097656,3,anomaly type 3,1.0587988354885415e-18,7.469591764674988e-6,3.204517762256387e-9,0.9999924898147583
32,41.38939666748047,3,anomaly type 3,1.7770118440226618e-18,8.861841706675477e-6,3.4840041962524992e-9,0.9999911785125732
33,40.87159729003906,3,anomaly type 3,3.014732327548261e-18,1.0713384654081892e-5,3.839655260406971e-9,0.9999892711639404
34,40.343021392822266,3,anomaly type 3,5.060552848437127e-18,1.3208544260123745e-5,4.252540986016129e-9,0.9999867677688599
35,39.82505416870117,3,anomaly type 3,8.44743476754876e-18,1.624744982109405e-5,4.707066292297668e-9,0.9999837875366211
36,39.31266784667969,3,anomaly type 3,1.401856071318118e-17,1.9897930542356335e-5,5.166280736546014e-9,0.999980092048645
37,38.806148529052734,3,anomaly type 3,2.3148424449169865e-17,2.427723848086316e-5,5.6314908292165455e-9,0.9999756813049316
38,38.304603576660156,3,anomaly type 3,3.760134431944754e-17,3.0060038625379093e-5,6.207307112759963e-9,0.9999699592590332
39,37.81949234008789,3,anomaly type 3,6.101137952658833e-17,3.7270172470016405e-5,6.8499677041700124e-9,0.9999626874923706
40,37.335472106933594,3,anomaly type 3,9.855138344053139e-17,4.6125413064146414e-5,7.54837703453859e-9,0.9999538660049438
41,36.855953216552734,3,anomaly type 3,1.5806557267584363e-16,5.688697274308652e-5,8.305881316061914e-9,0.9999431371688843
42,36.383522033691406,3,anomaly type 3,2.5392655448276875e-16,7.026331149972975e-5,9.134954126466255e-9,0.999929666519165
43,35.90948486328125,3,anomaly type 3,4.066842613690923e-16,8.668238297104836e-5,1.0052387366954463e-8,0.9999133348464966
44,35.43849563598633,3,anomaly type 3,6.588923712903393e-16,0.00010749429930001497,1.1080492967607825e-8,0.9998924732208252
45,34.955970764160156,3,anomaly type 3,1.0579934907897987e-15,0.00013292617222759873,1.2191069487244022e-8,0.9998670816421509
46,34.48240280151367,3,anomaly type 3,1.7025368592558541e-15,0.00016433971177320927,1.341052158210232e-8,0.9998356103897095
47,34.006656646728516,3,anomaly type 3,2.737969203979061e-15,0.00020309440151322633,1.4732866482347617e-8,0.9997969269752502
48,33.531558990478516,3,anomaly type 3,4.383574225992875e-15,0.0002506611926946789,1.6196793239942053e-8,0.9997493624687195
49,33.0609130859375,3,anomaly type 3,7.076357186851234e-15,0.0003101261390838772,1.7821735198708666e-8,0.9996899366378784
50,32.58201599121094,3,anomaly type 3,1.1336928676375629e-14,0.0003822479920927435,1.9563348274687087e-8,0.9996176958084106
51,32.11071014404297,3,anomaly type 3,1.800697516985729e-14,0.0004683242295868695,2.1575612407787048e-8,0.999531626701355
52,31.64801788330078,3,anomaly type 3,2.851830845584068e-14,0.000573549943510443,2.3809338500768717e-8,0.9994264841079712
