step,predicted_class,predicted_prob,target_prob,loss
83,anomaly type 2,0.9976155757904053,5.77178624894259e-8,16.66596794128418
84,anomaly type 2,0.9972794651985168,6.763549009747294e-8,16.50765609741211
85,anomaly type 2,0.9974266886711121,7.288998915555567e-8,16.43294334411621
86,anomaly type 2,0.9973457455635071,6.87753072270425e-8,16.490968704223633
87,anomaly type 2,0.9975442290306091,6.640681959879657e-8,16.52596092224121
88,anomaly type 2,0.9974820017814636,6.770576987946697e-8,16.50661849975586
89,anomaly type 2,0.9974923133850098,6.816789976937798e-8,16.499826431274414
90,anomaly type 2,0.9973827004432678,6.803117713616302e-8,16.5018310546875
91,anomaly type 2,0.9974104762077332,6.935267293783909e-8,16.482620239257812
92,anomaly type 2,0.9973815083503723,6.864017620955565e-8,16.492931365966797
93,anomaly type 2,0.997393012046814,7.087391651339203e-8,16.460952758789062
94,anomaly type 2,0.9974523186683655,6.583447742514181e-8,16.534605026245117
95,anomaly type 2,0.9974271655082703,6.3330361399494e-8,16.573322296142578
96,anomaly type 2,0.9974900484085083,6.14303843349262e-8,16.603734970092773
97,anomaly type 2,0.9975326061248779,6.083147496838137e-8,16.613515853881836
98,anomaly type 2,0.997661828994751,6.256728113385179e-8,16.585426330566406
99,anomaly type 2,0.9976816177368164,5.72793759090473e-8,16.673580169677734
100,anomaly type 2,0.9975601434707642,6.626604687198778e-8,16.528079986572266
